area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,1150,2,2,42.9
Built-up  Area,Ready To Move,Hebbal,4 BHK,3900,4,2,410
Built-up  Area,Ready To Move,Yeshwanthpur,5 Bedroom,850,4,2,90
Super built-up  Area,18-Mar,Kanakapura,2 BHK,929,2,1,46
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,2400,8,3,450
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1350,2,1,75
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,1135,2,1,39.73
Built-up  Area,Ready To Move,Basava Nagar,2 BHK,1405,2,2,70
Plot  Area,18-Sep,Whitefield,2 Bedroom,1200,2,1,45.84
Super built-up  Area,18-Apr,Haralur Road,4 BHK,2805,4,3,154
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1161,2,2,64.08
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,1290,2,3,74
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2557,3,2,141
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3,2,90
Plot  Area,Ready To Move,BTM 1st Stage,9 Bedroom,3300,14,,500
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,1350,3,0,54.54
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1580,2,2,65
Super built-up  Area,17-Oct,Banashankari,3 BHK,1470,2,1,88.64
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,500,1,1,14
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,1346,2,1,61.92
Super built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,1600,3,3,90
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,720,2,1,120
Plot  Area,19-Mar,Narasapura,2 Bedroom,30Acres,2,2,29.5
Plot  Area,Ready To Move,Manjunath Nagar,4 Bedroom,1200,4,0,135
Super built-up  Area,Ready To Move,Basapura,2 BHK,1200,2,2,35
Built-up  Area,Ready To Move,Channasandra,3 BHK,1340,2,2,48.33
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,6136,4,,560
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2,2,48
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,1500,3,2,115
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1315,2,2,85
Plot  Area,Ready To Move,Sector 1 HSR Layout,4 Bedroom,2400,5,,775
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1390,2,2,62.55
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330,2,1,56
Built-up  Area,Ready To Move,Jalahalli,5 BHK,3100,4,,265
Super built-up  Area,17-Dec,Mango Garden Layout,3 BHK,1824,3,3,125
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,2,96
Plot  Area,Ready To Move,Kacharakanahalli,1 Bedroom,750,1,0,56.25
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,1260,2,1,60
Super built-up  Area,19-Sep,Hennur Road,3 BHK,1561,3,2,95
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,812,6,3,165
Super built-up  Area,Ready To Move,"Bidere Agarahara, Behind Safal market",2 BHK,1060,2,2,42
Plot  Area,Ready To Move,Hoodi,8 Bedroom,1120,8,3,145
Super built-up  Area,18-Jul,Haralur Road,2 BHK,1225,2,1,67.38
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3,2,135
Plot  Area,Ready To Move,Kengeri,7 Bedroom,1200,6,2,140
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,2,2,29
Super built-up  Area,21-Dec,Hoodi,3 BHK,1639,3,2,110
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1240,2,1,62
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1500,2,2,69
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2,1,46
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1575,3,,78
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2,2,44
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2,1,56
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,1637,3,3,73
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2,86.58
Super built-up  Area,18-Dec,Electronic City,2 BHK,1265,2,0,56.93
Super built-up  Area,21-Dec,Electronic City,3 BHK,1691,2,2,102
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1100,2,1,38
Built-up  Area,Ready To Move,Grihalakshmi Layout,5 Bedroom,24,2,2,150
Plot  Area,19-Jan,Gopalkrishna Nagar,3 Bedroom,1500,3,2,62
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5,1,380
Built-up  Area,Ready To Move,Kammanahalli,5 Bedroom,1666,4,1,150
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115,2,2,50
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1070,2,1,45
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1128,2,2,105
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2,1,57
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,1339,2,2,55
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1192,2,2,75
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1920,3,1,115
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2,1,52.32
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,1357,2,1,115
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,1600,3,2,75
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,1225,2,2,55.11
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2400,4,3,200
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1570,3,3,80
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1093,2,2,70
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,1865,3,3,145
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,1200,7,3,165
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1039,2,2,80
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,64.5
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1985,3,2,75
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,1590,3,3,49
Plot  Area,Ready To Move,Hunasamaranahalli,4 Bedroom,4000,4,2,675
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,775,2,2,38
Super built-up  Area,Ready To Move,RWF West Colony,2 BHK,1000,2,1,50
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1800,3,2,175
Super built-up  Area,18-Jun,Bommasandra,2 BHK,1035,2,1,41
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,1520,2,1,75
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1360,2,1,95
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,6000,5,3,400
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,1117,2,2,56
Plot  Area,Ready To Move,KR Puram,4 Bedroom,1200,4,3,120
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330,2,1,92.5
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1937,3,2,160
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2,1,65.49
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,1053,2,1,45
Super built-up  Area,18-May,Panathur,2 BHK,1198,2,1,77
Super built-up  Area,18-Apr,Marathahalli,2 BHK,1152,2,1,56
Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,1200,6,2,125
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,1625,2,1,75
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1397,3,3,105
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1523,3,3,170
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2,1,45
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,700,1,0,38
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1170,2,1,62.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1200,2,2,42
Built-up  Area,Ready To Move,Manayata Tech Park,3 BHK,2400,3,2,170
Super built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1480,2,2,65
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1897,3,2,120
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,996,2,1,67
Super built-up  Area,18-May,Haralur Road,3 BHK,1875,3,2,110
Super built-up  Area,Ready To Move,Williams Town,3 BHK,1500,2,2,98
Super built-up  Area,Ready To Move,Jaya Nagar East,3 BHK,3095,3,3,350
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1390,2,1,175
Super built-up  Area,20-Dec,Yelahanka,3 BHK,1445 - 1455,3,0,65.255
Super built-up  Area,17-Nov,Yelahanka,1 BHK,697,1,0,45
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,710,1,1,27
Carpet  Area,Ready To Move,Iggalur,2 BHK,910,2,1,30.5
Built-up  Area,Ready To Move,Sompura,3 BHK,1025,2,1,48
Super built-up  Area,18-Aug,Magadi Road,2 BHK,884 - 1116,2,0,46.5
Plot  Area,Ready To Move,Harlur,4 Bedroom,1200,4,,244
Super built-up  Area,18-May,Horamavu Agara,3 BHK,1453,2,1,46.48
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3335,5,2,300
Super built-up  Area,18-Mar,Thanisandra,2 BHK,850 - 1093,2,0,36.435
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1281,2,1,74
Built-up  Area,Ready To Move,Cooke Town,1 BHK,565,1,1,35
Built-up  Area,Ready To Move,Varthur,2 BHK,1024,2,2,42
Built-up  Area,Ready To Move,Electronic City,3 BHK,1620,3,2,62
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1254,2,2,40
Built-up  Area,Ready To Move,Banashankari,3 BHK,1300,2,2,75
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1233,2,2,43
Plot  Area,Ready To Move,Chokkanahalli,1 Bedroom,1200,1,1,28
Super built-up  Area,18-Oct,Hosur Road,3 BHK,1510,2,1,105
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950,2,1,65
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1945,3,2,97.42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1008,2,3,45
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1265,2,1,79
Super built-up  Area,19-Dec,Hebbal,3 BHK,1255,2,1,77.68
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,2689,6,2,220
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,1200,2,2,46.17
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1403,3,3,51.63
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,85
Plot  Area,Ready To Move,Chikkaballapur,3 Bedroom,1500,3,3,100
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,1475,2,2,120
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1390,2,2,60.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1278,2,1,53.76
Super built-up  Area,Ready To Move,VGP Layout,2 BHK,1133,2,2,55
Plot  Area,Ready To Move,Classic Paradise Layout,5 Bedroom,1560,5,1,145
Plot  Area,Ready To Move,Byappanahalli,5 Bedroom,2900,5,2,90
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1170,2,1,51.99
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,1200,3,3,200
Super built-up  Area,18-Dec,Whitefield,3 BHK,1697,3,2,94.79
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1651,3,3,97.38
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,1560,3,1,188
Super built-up  Area,17-Apr,Hennur Road,3 BHK,1192,2,1,60
Built-up  Area,Ready To Move,OMBR Layout,2 BHK,1078,2,3,65
Plot  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,800,7,3,105
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1349,2,2,78
Plot  Area,Ready To Move,Ulsoor,9 Bedroom,2300,8,1,210
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,120
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1314,2,2,63
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1060,2,1,48.7
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,820,2,0,39
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5000,4,3,400
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,2000,3,2,85
Super built-up  Area,Ready To Move,Kalkere,2 BHK,856,2,3,40
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,1621,4,0,130
Plot  Area,18-Dec,ITPL,3 Bedroom,1200,3,1,68.4
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1484,3,2,52.5
Plot  Area,Ready To Move,T.C. Palya,4 Bedroom,600,5,2,60
Plot  Area,Ready To Move,Siddapura,4 Bedroom,14000,3,2,800
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,500,1,1,20
Super built-up  Area,Ready To Move,Makali,1 BHK,485,1,1,15
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1617,3,3,66.68
Built-up  Area,Ready To Move,Electronic City,2 BHK,550,1,1,16
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,1384,3,2,62.28
Super built-up  Area,18-Apr,Devanahalli,2 BHK,1408,2,2,85
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1150,2,1,49
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1410,2,2,75
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,2150,4,1,100
Super built-up  Area,Ready To Move,Koramangala,3 BHK,2292,4,1,275
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,2006,3,,297
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,1508,3,2,70.25
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1040,2,2,50
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1240,2,1,60
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,1,78
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1180,2,2,75
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,2200,6,2,68
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1400,2,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,500,1,1,25
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4800,4,3,525
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1984,4,1,146
Plot  Area,Ready To Move,Whitefield,4 Bedroom,3000,5,3,250
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1960,3,3,160
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2,1,45
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,2150,4,1,80
Built-up  Area,Ready To Move,Whitefield,3 BHK,1700,3,2,115
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3024,5,1,248
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,1586,3,1,100
Built-up  Area,18-May,Hennur,3 Bedroom,2264,,,155
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2325,4,1,120
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1120,2,2,55
Super built-up  Area,18-Jun,Yelahanka,3 BHK,1440 - 1884,,,67.98
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1128,2,2,59
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,1200,6,2,250
Super built-up  Area,Ready To Move,Jigani,2 BHK,924,2,2,65
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1600,3,2,52
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,1006,2,2,35
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,1200,2,2,55
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,1250,2,1,62
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,1200,3,1,130
Built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1,56
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,41
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,1050,2,1,67
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1565,3,2,88.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,3,57
Built-up  Area,18-Jan,Whitefield,3 Bedroom,2842,3,2,162
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1558.67,2,2,65
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,630,1,1,39
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1403,2,2,60.81
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1542,2,3,85
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,2750,4,0,220
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596,5,1,290
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,1635,2,,78
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1239,2,1,53
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2,2,47
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1596,3,1,105
Super built-up  Area,17-Nov,Channasandra,2 BHK,1009,2,1,38.34
Super built-up  Area,18-Jul,Hosa Road,3 BHK,1726,3,2,81.99
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,86
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,1300,2,1,58.5
Plot  Area,Ready To Move,Whitefield,4 Bedroom,3100,4,2,465
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,1800,3,3,80
Super built-up  Area,19-Dec,Binny Pete,1 BHK,665,1,0,50.75
Plot  Area,Ready To Move,Chamrajpet,9 Bedroom,4050,7,1,1200
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1500,2,1,100
Built-up  Area,Ready To Move,Kalkere,2 BHK,925,2,2,48
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,3356,4,,251
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,1395,2,1,63.59
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1415,2,1,55
Super built-up  Area,Ready To Move,Begur,3 BHK,1419,2,2,59
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,1121,2,2,78
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2,1,45
Super built-up  Area,18-Jun,KR Puram,2 BHK,1100,2,1,47
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1606,3,3,89.55
Built-up  Area,Ready To Move,Billekahalli,3 BHK,1650,3,2,88
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,4634,4,3,1015
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1206,2,3,75
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1495,2,0,64
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,840,7,2,195
Super built-up  Area,Ready To Move,Electronic City,2 BHK,710,2,2,16
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2,1,72
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1523,2,2,53.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1232,2,2,45
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,680,1,1,44
Super built-up  Area,19-Dec,Hebbal,3 BHK,1355,3,1,83.87
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1430,2,2,51.46
Super built-up  Area,18-Jun,Kothannur,3 BHK,1275,2,2,43.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,56.1
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,1200,3,1,85
Plot  Area,Ready To Move,Electronic City,4 Bedroom,2000,4,0,120
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,1200,2,2,40
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1610,3,1,90
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1140,2,2,43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1143,2,2,38.65
Super built-up  Area,22-May,Jakkur,4 BHK,3467.86,6,3,249
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530,2,2,74.4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980,2,2,69
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1485,3,2,65
Plot  Area,18-May,Whitefield,3 Bedroom,1500,3,1,130
Super built-up  Area,18-Oct,Whitefield,2 BHK,1280,2,1,75
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1265,2,2,85
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,1132,2,1,67
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,1262,2,2,63
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,940,2,1,49
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,1515,3,3,88
Super built-up  Area,Ready To Move,Jigani,3 BHK,1300,3,3,150
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,1840,3,1,69
Built-up  Area,Ready To Move,Electronic City,2 BHK,890,2,2,45
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,1655,3,2,86.06
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2060,3,1,149
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,1730,3,1,96
Built-up  Area,Ready To Move,Yelahanka,3 BHK,2195,4,2,127
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,1650,3,2,125
Plot  Area,Ready To Move,KR Puram,2 Bedroom,1200,2,0,71
Super built-up  Area,18-May,Hosa Road,2 BHK,1079,2,1,32.37
Super built-up  Area,19-Oct,Panathur,2 BHK,1085,2,1,36
Built-up  Area,Ready To Move,Maruthi Sevanagar,7 Bedroom,5000,7,,299
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1075,2,1,51.5
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,1380,2,1,80
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,1450,3,1,65
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,1200,2,2,78
Super built-up  Area,Ready To Move,Benson Town,3 BHK,3200,4,,350
Super built-up  Area,21-Jul,Hoodi,3 BHK,1639,3,1,98.32
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1200,2,1,54
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1739,3,1,116
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,4346,5,,500
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,935,2,1,32.72
Super built-up  Area,21-Nov, Thanisandra,1 RK,510,1,1,25.25
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,1200,6,3,180
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1178,2,3,47
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1375,2,1,50
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1065,2,1,33
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450,2,1,50.75
Built-up  Area,Ready To Move,BEML Layout,2 BHK,999,2,3,45
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,4400,3,2,475
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,1350,4,1,135
Built-up  Area,Ready To Move,Kothannur,2 BHK,1100,2,2,40
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1835,2,3,155
Super built-up  Area,20-Dec,Hoodi,4 BHK,2090,4,0,95.1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1519,3,1,93
Built-up  Area,Ready To Move,Dommasandra,3 BHK,1267,3,2,56
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1150,2,3,72.2
Super built-up  Area,19-Dec,Marathahalli,2 BHK,1146,2,1,70
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,1200,7,0,235
Built-up  Area,Ready To Move,Kannamangala,3 BHK,1550,3,3,65
Built-up  Area,Ready To Move,Chandapura,2 BHK,850,1,1,18.5
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,2200,3,,187
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,3329,3,2,330
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,785,1,1,55
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,2900,4,,300
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1610,3,2,74
Super built-up  Area,Ready To Move,Bellandur,2 BHK,921,2,2,40
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,850,3,2,95
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,2700,5,0,158
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700,3,3,110
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1020,2,2,35
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1090,2,3,52
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,3600,4,,300
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2,2,44
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2,2,42.1
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,850,2,1,25
Built-up  Area,Ready To Move,Harlur,2 BHK,1197,2,1,84
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,3500,3,3,450
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,920,2,2,39.55
Super built-up  Area,Ready To Move,Chamrajpet,9 BHK,716Sq. Meter,9,1,296
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1105,2,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1850,3,3,100
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,1300,3,1,64
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,1595,3,2,76
Super built-up  Area,19-Dec,Kodihalli,4 BHK,3073,5,2,696
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,755,2,1,37.49
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,4050,5,2,140
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1300,2,3,69
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1215,2,0,50
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,900,2,1,46
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,1145,2,3,58.4
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,1093,2,2,65
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,1213,2,2,41.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1654,3,2,100
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1105,2,1,52.48
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1611,2,2,66
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,1367,2,2,62
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1010,2,1,51
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,750,2,1,75
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,1535,3,1,95
